龟裂地下道	地下	层	1	0	1	1	86400	0	11012	7	23	7	23	0	11012	7	23	7	23	1	1	7623	100	0	0	0	0	0	0	0	17954	0	103012	17954	17955	0	0	1	2	3	40	50	40	50	15	20	15	20	14000	1	1	1	1	0	215	1	12219	100	10	1	12220	100	10	1	12221	100	10	1	12222	100	10	1	12223	100	10	1	12207	100	10	1	12208	100	10	1	12209	100	10	1	12210	100	10	1	12213	100	10	1				-1	80003	100	80004	100	80005	100											201	12
牛鬼的洞穴		层	2	0	1	1	86400	0	11017	16	10	16	10	0	11019	26	38	26	38	1	0	7849	100	0	0	0	0	0	0	103012	103012	13997	13996	13996	13997	0	0	1	16	16	30	100	30	100	10	20	10	20	14001	10	15	1	3	16	214	0	12202	10	5	1	12203	10	5	1	12204	10	5	1	12205	10	5	1	12206	10	5	1	12207	10	5	1	12208	10	5	1	12209	10	5	1	12210	10	5	1	12211	10	5	1				-1	5115	100	5116	100	5117	100	5118	100	80007	100	80008	100	80009	100	80010	100	210	6
法兰迷宫	地下	层	3	0	1	1	86400	0	1538	15	18	15	18	0						1	1	7820	100	0	17089	17088	17089	17088	17087	103012	103012	103012	103012	12000	12002	0	0	1	8	10	40	60	40	60	10	20	10	20	14002	10	15	1	3	8	214	0	15177	60	5	1	15179	60	5	1	15183	60	5	1	15000	60	5	1	15000	60	5	1	15001	60	5	1	15002	60	5	1	12312	60	5	1	12312	60	5	1	12312	60	5	1	80014	3		1	6004	100	6005	100	6006	100	60072	100	60075	100							200	12
煖炉	地下	层	4	0	1	1	86400	0	15511	1	8	1	8	0	15510	44	39	44	39	1	1	7623	100	0	0	0	0	0	0	0	103012	0	103012	17954	17955	0	0	1	5	6	60	70	60	70	15	20	15	20	14004	14	16	1	3	0	213	1	12197	50	15	1	12198	50	20	1	12199	50	15	2	12200	50	25	2	12203	50	20	1	12222	50	8	1	12223	50	10	1	12218	50	18	2	12220	50	17	2	12209	50	7	2				-1	6084	100	80040	100	80041	100	80042	100	80043	100	80044	100	80045	100	80046	100	213	12
玄关	地下	层	5	0	1	1	86400	0	15502	10	6	10	6	0	15503	6	44	6	44	1	1	9369	100	0	0	0	0	0	0	13271	103012	13274	103012	13270	13271	0	0	1	7	8	50	100	50	100	15	20	15	20	14005	18	20	1	3	0	215	1	15000	20	10	1	15001	20	10	1	15002	20	10	2	15003	20	10	2	15004	20	10	3	15005	20	10	3	15006	20	10	4	15007	20	10	4	15008	20	10	5	15009	20	10	5				-1	80047	100	80048	100	80049	100	80051	100	80051	100	80051	100	80051	100	80051	100	203	12
秦利狼 悼奔	地下	层	6	0	1	1	86400	0	666	73	2	73	2	0	666	73	4	73	4	1	1	9344	100	0	0	0	0	0	0	13271	13270	13270	13271	13270	13271	0	0	1	4	6	80	100	80	100	16	24	16	24	14006	12	15	1	3	2	214	1	15000	20	6	1	15001	20	6	2	15002	20	6	1	15003	20	6	3	15004	10	3	2	10014	20	3	3	10433	20	3	1	10497	20	3	2	11018	20	3	2	11034	20	3	3				-1																	214	12
竞技场		层	7	0	1	1	86400	0	1405	25	25	80	80	0	1405	25	25	80	80	1	0	1003	100	0	15803	15803	15803	15803	15803	103012	103012	103012	103012	13996	13997	0	0	1	1	1	20	40	20	40	15	20	15	20	1000	1	5	1	3	0	214	0																																										1		-1																	201	12
霞之洞穴	地下	层	8	0	1	1	86400	0	100	600	300	610	310	0	15521	10	19	10	19	1	1	9609	100	0	0	0	0	0	0	103012	103012	17976	17977	17976	17977	0	0	1	10	10	40	80	40	80	15	20	15	20	14008	5	15	1	3	6	213	1																																										1		-1	6176	100	60190	100													210	5
水之洞穴	一阶段	层	9	0	1	1	86400	0	15542	10	8	10	8	0	15543	6	5	6	5	1	1	9491	100	0	0	0	0	0	0	103012	103012	103012	103012	17966	17967	0	0	1	19	19	40	60	40	60	10	20	10	20	13007	55	59	1	3	20	215	1	15082	20	10	1	15083	20	10	1	15084	20	10	2	15085	20	10	2	15086	20	10	3	15087	20	10	3	15088	20	10	4	15089	20	10	4	15090	20	10	5	15091	20	10	5				-1																		2
水之洞穴	二阶段	层	10	0	1	1	86400	0	15543	5	5	15	25	0	15544	22	48	22	48	1	1	9491	100	0	0	0	0	0	0	103012	103012	103012	103012	17966	17967	0	0	1	9	9	40	60	40	60	10	20	10	20	13007	60	62	1	3	10	215	0	15082	20	1	1	15083	20	1	1	15084	20	1	2	15085	20	1	2	15086	20	1	3	15087	20	1	3	15088	20	1	4	15089	20	1	4	15090	20	1	5	15091	20	1	5				-1																		2
