#ID	rank	graph	rnd	enemy	advance	nko	nkoID	jewelID	bg	btlSE	SE1	SE2	SE3
# 알													
0	0	14900	4	-1	1	20	608000	608000	0	0	0	0	0
# 길드 몬스터（소１）													
1	1	110600	6	-1	7	20	608000	608000	0	0	400	401	402
2	1	110606	6	-1	8	20	608000	608000	0	0	400	401	402
3	1	110612	6	-1	9	20	608000	608000	0	0	400	401	402
4	1	110618	6	-1	10	20	608000	608000	0	0	400	401	402
5	1	110624	6	-1	11	20	608000	608000	0	0	400	401	402
6	1	110630	6	-1	12	20	608000	608000	0	0	400	401	402
# 길드 몬스터（소２）													
7	2	110650	0	-1	13	20	608000	608300	0	0	400	401	402
8	2	110656	0	-1	13	20	608000	608310	0	0	400	401	402
9	2	110662	0	-1	13	20	608000	608320	0	0	400	401	402
10	2	110668	0	-1	13	20	608000	608330	0	0	400	401	402
11	2	110674	0	-1	13	20	608000	608310	0	0	400	401	402
12	2	110680	0	-1	13	20	608000	608320	0	0	400	401	402
# 고치（중）													
13	3	14904	4	-1	14	30	608000	608000	0	0	0	0	0
# 중구													
14	4	110705	0	304806	30	30	608100	608400	239992	407	408	406	0
15	4	110706	0	304807	30	30	608100	608400	239992	407	408	406	0
16	4	110707	0	304808	30	30	608100	608400	239992	407	408	406	0
17	4	110704	0	304805	30	30	608100	608400	239992	407	408	406	0
# 중어													
18	4	110703	0	304803	30	30	608100	608410	239993	404	405	403	0
19	4	110700	0	304800	30	30	608100	608410	239993	404	405	403	0
20	4	110701	0	304801	30	30	608100	608410	239993	404	405	403	0
21	4	110702	0	304802	30	30	608100	608410	239993	404	405	403	0
# 중조													
22	4	110713	0	304816	30	30	608100	608420	239994	413	414	412	0
23	4	110714	0	304817	30	30	608100	608420	239994	413	414	412	0
24	4	110712	0	304815	30	30	608100	608420	239994	413	414	412	0
25	4	110715	0	304818	30	30	608100	608420	239994	413	414	412	0
# 중수													
26	4	110711	0	304813	30	30	608100	608430	239995	410	411	409	0
27	4	110708	0	304810	30	30	608100	608430	239995	410	411	409	0
28	4	110709	0	304811	30	30	608100	608430	239995	410	411	409	0
29	4	110710	0	304812	30	30	608100	608430	239995	410	411	409	0
# 고치（대）													
30	5	14908	4	-1	31	30	608000	608300	0	0	0	0	0
# 길드 몬스터（대）													
#대구													
31	6	110754	0	305005	0	30	608200	608500	239996	418	0	417	0
32	6	110755	0	305006	0	30	608200	608500	239996	418	0	417	0
33	6	110757	0	305008	0	30	608200	608500	239996	418	0	417	0
34	6	110756	0	305007	0	30	608200	608500	239996	418	0	417	0
#대어													
35	6	110751	0	305003	0	30	608200	608510	239997	416	0	415	0
36	6	110750	0	305000	0	30	608200	608510	239997	416	0	415	0
37	6	110752	0	305002	0	30	608200	608510	239997	416	0	415	0
38	6	110753	0	305001	0	30	608200	608510	239997	416	0	415	0
#대조													
39	6	110763	0	305016	0	30	608200	608520	239998	422	0	421	0
40	6	110765	0	305018	0	30	608200	608520	239998	422	0	421	0
41	6	110762	0	305015	0	30	608200	608520	239998	422	0	421	0
42	6	110764	0	305017	0	30	608200	608520	239998	422	0	421	0
#대수													
43	6	110761	0	305013	0	30	608200	608530	239999	420	0	419	0
44	6	110760	0	305012	0	30	608200	608530	239999	420	0	419	0
45	6	110759	0	305011	0	30	608200	608530	239999	420	0	419	0
46	6	110758	0	305010	0	30	608200	608530	239999	420	0	419	0

