5			
3			
#???ID	加成	宝石几率	??? ???ID
9390	1	10	-1
9391	2	10	-1
9392	6	10	-1
8	2	5	-1
97	5	20	-1
820	4	5	-1
852	9	20	-1
1608	3	5	-1
1643	8	5	-1
2010	4	20	-1
2095	9	5	-1
2418	5	5	-1
2462	10	5	-1
2832	5	5	-1
2899	10	5	-1
3213	5	5	-1
3288	8	5	-1
3611	4	5	-1
3635	5	5	-1
3651	6	5	-1
3675	10	5	-1
4001	2	5	-1
4042	4	20	-1
4062	6	5	-1
4410	3	5	-1
4461	4	10	-1
4806	3	5	-1
4867	6	5	-1
5205	3	5	-1
5242	4	5	-1
5600	2	5	-1
5680	4	20	-1
6001	2	5	-1
6091	9	5	-1
6401	2	5	-1
6480	9	5	-1
15201	1	5	-1
12405	2	5	-1
15215	2	5	-1
15216	2	5	-1
15218	2	5	-1
12502	1	5	-1
15317	1	5	-1
12006	1	30	12405
12410	1	30	15216
12501	1	40	-1
15315	1	40	-1
15316	1	40	-1
15314	1	40	-1
607641	1	40	-1
607649	1	40	-1
15312	1	40	-1
12401	1	35	12501
12401	1	35	15315
12100	1	35	15316
12101	1	35	15314
11309	1	35	607641
12102	1	35	607649
12006	1	35	15312
4400	1	5	-1
4420	1	5	-1
4430	1	5	-1
5206	1	5	-1
5212	1	5	-1
5224	1	5	-1
5233	1	5	-1
1619	1	5	-1
1635	1	5	-1
1658	1	5	-1
1669	1	5	-1
835	1	5	-1
830	1	5	-1
3212	1	5	-1
3229	1	5	-1
3230	1	5	-1
18	1	5	-1
22	1	5	-1
805	1	5	-1
809	1	5	-1
2806	1	5	-1
2812	1	5	-1
3201	1	5	-1
3222	1	5	-1
2404	1	5	-1
2413	1	5	-1
2435	1	5	-1
2022	1	5	-1
6410	1	5	-1
6427	1	5	-1
6437	1	5	-1
5614	1	5	-1
5612	1	5	-1
6010	1	5	-1
6022	1	5	-1
4812	1	5	-1
4813	1	5	-1
4011	1	5	-1
4022	1	5	-1
9600	1	5	-1
9601	1	5	-1
9609	3	15	-1
10001	1	5	-1
10004	1	5	-1
18194	1	5	-1
18195	1	5	-1
18231	1	5	-1
15606	1	5	-1
15607	1	5	-1
15608	1	5	-1
15614	1	10	-1
10010	1	5	-1
9639	1	5	-1
608600	5	20	-1
608601	5	20	-1
608602	5	20	-1
608603	5	20	-1
608604	5	20	-1
608605	5	20	-1
608606	5	20	-1
608607	5	20	-1
