# 최대만복치	LV	대응만복치	활동시간（초）	수면시간（초）	만복치상승레이트	배고픔도（％）	좋아하는 것 개수	도망카운터	호감도감소치	성장하고난 후의 필요연령	비성장시의 도망연령	필요만복치	좋아하는 것 필요섭취량	성장판정번호
# 알														
100	-1	2	0	1800	0	0	0	255	0	7	7	0	0	4
# 길몬·소１														
300	5	300	1800	1800	10	5	4	240	10	24	120	200	60	1
# 길몬·소２														
600	10	600	3600	1800	10	6	3	200	10	42	160	500	90	0
# 고치（중）														
600	-1	2	0	1800	0	0	0	255	0	10	10	0	0	2
# 길몬·중														
1500	50	1500	5400	1800	8	7	2	150	10	100	300	1200	130	0
# 고치（대）														
1500	-1	2	0	1800	0	0	0	255	0	8	8	0	0	2
# 길몬·대														
3000	80	3000	10800	1800	8	8	1	140	10	365000	300	2200	180	3

