#ÖÖÀà	ÅÅÎ»	ÊýÖµ	ÎÄ±¾
#´¬ ×´Ì¬			
0	0	20	ºÜÉÙ
0	21	40	ÆÕÍ¨
0	41	60	Ò»°ã
0	61	90	ºÜ¶à
0	91	100	¾Þ¶à
#ÊôÐÔ£º1µØ 2Ë® 3»ð 4·ç			
1	1	1	½ÅÕ¾ÔÚµØÉÏ.
1	1	2	ÄàÕÓ.
1	1	3	½¹ÍÁµÄÎ¶µÀ.
1	1	4	½¥½¥ÏÝµ½ÄàÀïÈ¥.
1	2	1	ÕÓÔóÇøÓòµÄ·ç.
1	2	2	Ë®Á÷Á¿.
1	2	3	Ïû»¯Ä©¶Ë.
1	2	4	±©Óê.
1	3	1	ÎÂÈªÒ»°ã.
1	3	2	·ÐÌÚµÄÈÈË®.
1	3	3	»ðÑæÉÕÉË.
1	3	4	ÈÈ²¨Ï®À´.
1	4	1	ÔÚ×ÔÈ»ÌØµãÍâÔµÔÚ¸ùÀïÃæ.
1	4	2	ËüÖªµÀÐÒÔË»òÕß²»ÐÒ.
1	4	3	Ò»¿ªÊ¼¾ÍÈ¼ÉÕ.
1	4	4	´ó·çÊ¹¾¢µÄ´µ.
#³²ÀÚ°¡ ÁÁ¾Æ ¿©ÀÚ°¡ ÁÁ¾Æ			
2	-128	-120	¿©ÀÚ°¡ ÁÁ¾Æ
2	-119	-43	¿©¼ºÀÌ ÁÁ¾Æ
2	-42	0	¿©ÀÚ°¡ ÁÁÀº °Í °°¾Æ
2	1	42	³²ÀÚ°¡ ÁÁÀ»Áöµµ
2	43	120	³²ÀÚ¸¦ µû¸¥´Ù
2	121	128	³²ÀÚ ¸Å´Ï¾Æ
#¿Ü¸ð			
3	-128	-120	¾öÃ» ÃÌ½º·¯¿ò.
3	-119	-43	º¼Ç°¾øÀ½.
3	-42	0	ºÁÁÙ¸¸ ÇÔ
3	1	42	±Ù»çÇÔ.
3	43	120	¸ðµ¨ Å¸ÀÔ.
3	121	128	¹ÌÀÇ È­½Å.
#¼º°Ý ÁÁ°í ³ª»Ý			
4	-128	-120	¾ÇÀÇ ²É
4	-119	-43	½É¼ú±ÄÀ½
4	-42	0	Æò¹ü
4	1	42	¹ü¿ë
